first_name,last_name,title,metric
Jason,Morrissey,Grit Clockwork,1.4230769230769236
Jason,Morrissey,Rocketeer Mother,1.2692307692307696
Jason,Morrissey,Idols Snatchers,1.230769230769231
Jason,Morrissey,Goodfellas Salute,1.2307692307692308
Jason,Morrissey,Chance Resurrection,1.2307692307692306
Jason,Morrissey,Cat Coneheads,1.1923076923076927
Jason,Morrissey,Married Go,1.1538461538461542
Jason,Morrissey,Swarm Gold,1.1538461538461542
Jason,Morrissey,Massacre Usual,1.153846153846154
Jason,Morrissey,Working Microcosmos,1.1538461538461537
